dataset_id,description,expected_local_path,used_by,access_route,source_record
mrva_extent,Mississippi Alluvial Plain extent clipped to the MRVA analysis mask,data/0 mask MRVA/outerboundary.shp,figures and grid definition,reused public source,https://doi.org/10.5066/F70R9NMJ
aem_resistivity,USGS 2022 three-dimensional log10 electrical-resistivity grid and depth levels,data/1 resistivity/aem_log10res_1km_masked.tif; data/1 resistivity/aem_depth_levels_m.json,GNN training; graph construction; classification interpretation; probability model,reused public source,https://doi.org/10.5066/P9382RCI
groundwater_observations,Screened monthly shallow-well WTD observations and active-grid lookup,data/2 well WTD/2011_2023/wtd_monthly.csv; data/2 well WTD/active_cell_lookup.csv,GNN training; anchors; residual constraints,reused public source,https://doi.org/10.5066/F7P55KJN
net_infiltration,Daily USGS Soil-Water-Balance net infiltration on the 1-km MRVA grid for 2011-2023,data/3 SWB net_infiltration,GNN forcing; Figure 2,reused public source,https://doi.org/10.5066/P1YV4WD7
aiwum_pumping,Monthly groundwater-use estimates with bridge-corrected AIWUM1 for 2011-2013 and AIWUM2 for 2014-2023,data/4 pumping out,GNN forcing; probability model; Figure 2,reused public source,https://doi.org/10.5066/P9RGZOBZ; https://doi.org/10.5066/P13PQXTH
topography,Mean elevation and slope sampled to the active 1-km MRVA grid,data/5 topography/topo_1km.csv,GNN static predictors,reused public source,USGS 3D Elevation Program
longterm_wtd,Study-derived spatially continuous long-term WTD reference,data/6 longterm_mean_WTD/longterm_wtd_1km.csv,monthly reconstruction,generated study input,Deposit with the final data record
grace,CSR GRACE and GRACE-FO RL06.3 mascon anomalies processed for the MRVA,data/7 GRACE/grace_mrva_2011_2023_timeseries_full156.csv,common reference-month mask; independent regional validation,reused public source,https://doi.org/10.15781/cgq9-nh24
surface_connectivity,USGS AEM-derived near-surface connectivity classes,data/8 connectivity/ConfiningLayer_SurfaceConnectivity.tif,specific-yield mapping for regional storage comparison,reused public source,https://doi.org/10.5066/P9382RCI
daymet_precipitation,Daymet V4 R1 monthly precipitation sampled to the 1-km MRVA grid,data/10 precipitation/daymet_prcp_monthly_v4r1_mrva,Figure 2,reused public source,https://doi.org/10.3334/ORNLDAAC/2131
mississippi_river,Mississippi River polyline used as a map overlay,assets/spatial/mississippi_river.gmt,Figures 2 and 3,reused public source,HydroRIVERS; https://doi.org/10.1002/hyp.9740
